id,session,identifier,title,name,classification,jurisdiction_id,date,note,media_type,url
ocd-bill/33d0e8ce-ed99-47d5-95bd-d3d335e237a3,22,CA 22-0255,"Proposed contract with Cober Johnson and Romney, PLLC ",Council of the District of Columbia,legislature,ocd-jurisdiction/country:us/district:dc/government,,Introduction,application/pdf,http://lims.dccouncil.us/Download/38659/CA22-0255-Introduction.pdf
ocd-bill/60b8e22c-e484-49f1-8bbd-c571e2c6bd3a,22,PR 22-0537,Board of Zoning Adjustment Lorna John Confirmation Resolution of 2017,Council of the District of Columbia,legislature,ocd-jurisdiction/country:us/district:dc/government,,Introduction,application/pdf,http://lims.dccouncil.us/Download/39004/PR22-0537-Introduction.pdf
ocd-bill/c9397518-d0cd-40cc-a521-78dbcfd03949,22,PR 22-0469,Sentencing Commission Marvin Turner Confirmation Resolution of 2017,Council of the District of Columbia,legislature,ocd-jurisdiction/country:us/district:dc/government,,Enrollment,application/pdf,http://lims.dccouncil.us/Download/38809/PR22-0469-Enrollment.pdf
ocd-bill/037929d3-5b5f-486b-a2db-4916dfa88574,22,PR 22-0968,Fiscal Year 2019 Budget Support Emergency Declaration Resolution of 2018,Council of the District of Columbia,legislature,ocd-jurisdiction/country:us/district:dc/government,,Introduction,application/pdf,http://lims.dccouncil.us/Download/40662/PR22-0968-Introduction.pdf
ocd-bill/5694a4c6-7c14-442e-932d-09162f073096,22,B 22-0859,Credit Protection Fee Waiver Emergency Amendment Act of 2018,Council of the District of Columbia,legislature,ocd-jurisdiction/country:us/district:dc/government,,SignedAct,application/pdf,http://lims.dccouncil.us/Download/40497/B22-0859-SignedAct.pdf
ocd-bill/337146a7-d25f-45a4-82e0-f5dac249250c,22,PR 22-0721,Board of Directors of the Washington Metrorail Safety Commission Chris Geldart Confirmation Resolution of 2018,Council of the District of Columbia,legislature,ocd-jurisdiction/country:us/district:dc/government,,Introduction,application/pdf,http://lims.dccouncil.us/Download/39546/PR22-0721-Introduction.pdf
ocd-bill/337146a7-d25f-45a4-82e0-f5dac249250c,22,PR 22-0721,Board of Directors of the Washington Metrorail Safety Commission Chris Geldart Confirmation Resolution of 2018,Council of the District of Columbia,legislature,ocd-jurisdiction/country:us/district:dc/government,,Enrollment,application/pdf,http://lims.dccouncil.us/Download/39546/PR22-0721-Enrollment.pdf
ocd-bill/4012d495-2f77-4b4f-9c03-52b045349595,22,B 22-0761,Golden Triangle Business Improvement District Amendment Act of 2018,Council of the District of Columbia,legislature,ocd-jurisdiction/country:us/district:dc/government,,Introduction,application/pdf,http://lims.dccouncil.us/Download/39955/B22-0761-Introduction.pdf
ocd-bill/c5291609-13dd-441e-8d15-e0402c8d3e14,22,REPROG 22-0130,"Reprogramming Request for $1,000,000 of Local Funds Budget Authority from the Office of the Attorney General to the Pay-As-You-Go (Paygo) Capital Fund ",Council of the District of Columbia,legislature,ocd-jurisdiction/country:us/district:dc/government,,Introduction,application/pdf,http://lims.dccouncil.us/Download/40330/REPROG22-0130-Introduction.pdf
ocd-bill/fa1fa9c0-b4f1-497f-9190-4f2a35f1684e,22,B 22-0734,Preservation of Electronic Recordings of Meetings Temporary Amendment Act of 2018,Council of the District of Columbia,legislature,ocd-jurisdiction/country:us/district:dc/government,,Introduction,application/pdf,http://lims.dccouncil.us/Download/39829/B22-0734-Introduction.pdf
ocd-bill/3cb56b6e-3820-4fc9-95c5-278c8d9c411d,22,B 22-1034,Controlled Substance Testing Temporary Amendment Act of 2018,Council of the District of Columbia,legislature,ocd-jurisdiction/country:us/district:dc/government,,Engrossment,application/pdf,http://lims.dccouncil.us/Download/41282/B22-1034-Engrossment.pdf
ocd-bill/a1cb8149-1a65-4b97-b60a-8da93b3fa3d7,22,CER 22-0110,Theodore Roosevelt High School Class of 1967 Ceremonial Recognition Resolution of 2017,Council of the District of Columbia,legislature,ocd-jurisdiction/country:us/district:dc/government,,Introduction,application/pdf,http://lims.dccouncil.us/Download/38277/CER22-0110-Introduction.pdf
ocd-bill/b51213ed-b624-4e10-bc58-ac800d1c8e1c,22,CER 22-0126,James 'Butch' McAdams District of Columbia State Athletic Association High School Hall of Fame Ceremonial Recognition Resolution of 2017,Council of the District of Columbia,legislature,ocd-jurisdiction/country:us/district:dc/government,,Introduction,application/pdf,http://lims.dccouncil.us/Download/38538/CER22-0126-Introduction.pdf
ocd-bill/f5161221-ca0f-443a-9cbd-877ca4fc7ed2,22,B 22-0763,Southwest Waterfront Exemption Temporary Amendment Act of 2018,Council of the District of Columbia,legislature,ocd-jurisdiction/country:us/district:dc/government,,Introduction,application/pdf,http://lims.dccouncil.us/Download/39978/B22-0763-Introduction.pdf
ocd-bill/2842d8c4-1fb3-4147-80f9-b6d24392c446,22,CA 22-0071,Proposed contract with Mainline Information Systems,Council of the District of Columbia,legislature,ocd-jurisdiction/country:us/district:dc/government,,Introduction,application/pdf,http://lims.dccouncil.us/Download/37909/CA22-0071-Introduction.pdf
ocd-bill/207a862b-42f2-4c62-b358-ba8c768d51a7,30,HB 4,An Act relating to military facility zones.,House,lower,ocd-jurisdiction/country:us/state:ak/government,,HB0004A,text/html,http://www.legis.state.ak.us/basis/get_bill_text.asp?hsid=HB0004A&session=30
ocd-bill/e02fdfed-5a3b-4f61-b38a-feed7ecbb173,30,HB 46,An Act relating to the state and municipal procurement preferences for agricultural products harvested in the state and fisheries products harvested or processed in the state; relating to merchandise sold and certain fees charged or collected by the Department of Natural Resources; and providing for an effective date.,House,lower,ocd-jurisdiction/country:us/state:ak/government,,HB0046B,text/html,http://www.legis.state.ak.us/basis/get_bill_text.asp?hsid=HB0046B&session=30
ocd-bill/d5bdee6a-8e18-4589-8ea5-3432060475ce,30,HB 122,An Act relating to the introduction of bills.,House,lower,ocd-jurisdiction/country:us/state:ak/government,,HB0122A,text/html,http://www.legis.state.ak.us/basis/get_bill_text.asp?hsid=HB0122A&session=30
ocd-bill/3b20de3a-b772-434d-9fcc-7c9987e83d30,30,SB 179,"An Act relating to the athletic commission and the commissioner of athletics; and relating to boxing, sparring, and wrestling contests, matches, and exhibitions.",Senate,upper,ocd-jurisdiction/country:us/state:ak/government,,SB0179A,text/html,http://www.legis.state.ak.us/basis/get_bill_text.asp?hsid=SB0179A&session=30
ocd-bill/25399390-2f91-405c-ac8e-939597217f6a,30,SB 198,An Act relating to a study of the effectiveness and cost of providing long-acting reversible contraception to women with substance abuse disorders.,Senate,upper,ocd-jurisdiction/country:us/state:ak/government,,SB0198A,text/html,http://www.legis.state.ak.us/basis/get_bill_text.asp?hsid=SB0198A&session=30
ocd-bill/ef6e0c92-cd55-4d02-bf3c-d566d2f4aad9,30,HB 65,An Act increasing the amount of the 2016 permanent fund dividend and directing the Department of Revenue to pay a supplemental dividend to eligible individuals; and providing for an effective date.,House,lower,ocd-jurisdiction/country:us/state:ak/government,,HB0065A,text/html,http://www.legis.state.ak.us/basis/get_bill_text.asp?hsid=HB0065A&session=30
ocd-bill/a22e5153-0e0b-4f10-b3f4-1f7bddcc1413,30,HB 95,"An Act making supplemental appropriations, capital appropriations, and other appropriations; making reappropriations; amending appropriations; repealing appropriations; and providing for an effective date.",House,lower,ocd-jurisdiction/country:us/state:ak/government,,HB0095A,text/html,http://www.legis.state.ak.us/basis/get_bill_text.asp?hsid=HB0095A&session=30
ocd-bill/02fd217b-1bc9-4ee1-bac7-c49540aace38,30,HB 159,"An Act relating to the prescription of opioids; relating to voluntary nonopioid directives; relating to the controlled substance prescription database; relating to the practice of dentistry; relating to the practice of pharmacy; relating to the practice of medicine; relating to the practice of podiatry; relating to the practice of osteopathy; relating to the practice of nursing; relating to the practice of optometry; relating to the practice of veterinary medicine; relating to the duties of the Board of Pharmacy; relating to pharmacists; relating to the definition of 'practitioner'; providing for an effective date by repealing the effective date of sec. 73, ch. 25, SLA 2016; and providing for an effective date.",House,lower,ocd-jurisdiction/country:us/state:ak/government,,HB0159C,text/html,http://www.legis.state.ak.us/basis/get_bill_text.asp?hsid=HB0159C&session=30
ocd-bill/da0e5ae3-7988-46f3-8ce3-d4ad837b5c23,30,HB 342,An Act amending and repealing registration filing provisions of the Uniform Land Sales Practices Act; relating to the jurisdiction of the office of administrative hearings; and providing for an effective date.,House,lower,ocd-jurisdiction/country:us/state:ak/government,,HB0342A,text/html,http://www.legis.state.ak.us/basis/get_bill_text.asp?hsid=HB0342A&session=30
ocd-bill/19c7bb42-a50a-4387-94d7-1e17921da825,30,HB 198,An Act relating to per diem for members of the legislature.,House,lower,ocd-jurisdiction/country:us/state:ak/government,,HB0198A,text/html,http://www.legis.state.ak.us/basis/get_bill_text.asp?hsid=HB0198A&session=30
ocd-bill/02fd217b-1bc9-4ee1-bac7-c49540aace38,30,HB 159,"An Act relating to the prescription of opioids; relating to voluntary nonopioid directives; relating to the controlled substance prescription database; relating to the practice of dentistry; relating to the practice of pharmacy; relating to the practice of medicine; relating to the practice of podiatry; relating to the practice of osteopathy; relating to the practice of nursing; relating to the practice of optometry; relating to the practice of veterinary medicine; relating to the duties of the Board of Pharmacy; relating to pharmacists; relating to the definition of 'practitioner'; providing for an effective date by repealing the effective date of sec. 73, ch. 25, SLA 2016; and providing for an effective date.",House,lower,ocd-jurisdiction/country:us/state:ak/government,,HB0159E,text/html,http://www.legis.state.ak.us/basis/get_bill_text.asp?hsid=HB0159E&session=30
ocd-bill/0c1680f4-efa2-42e2-8902-bed9f68e734c,30,SB 104,An Act relating to the duties of the Department of Education and Early Development; relating to the duties of the state Board of Education and Early Development; relating to school curricula; relating to a system for managing student information and records related to individualized education programs for children with disabilities; establishing the marijuana education and treatment fund; and relating to the duties of the Department of Health and Social Services to administer a comprehensive marijuana use education and treatment program.,Senate,upper,ocd-jurisdiction/country:us/state:ak/government,,SB0104E,text/html,http://www.legis.state.ak.us/basis/get_bill_text.asp?hsid=SB0104E&session=30
ocd-bill/1e34f33d-9783-4555-8d6a-910922574568,30,HB 233,"An Act relating to the insurance tax education credit, the income tax education credit, the oil or gas producer education credit, the property tax education credit, the mining business education credit, the fisheries business education credit, and the fisheries resource landing tax education credit; providing for an effective date by repealing the effective dates of secs. 3, 5, 7, 10, 14, 16, 18, 21, 23, 25, 28, 30, 32, 35, 37, 39, 42, 44, 46, 49, 51, 53, and 55, ch. 92, SLA 2010, sec. 14, ch. 7, FSSLA 2011, secs. 15, 17, 19, 21, 23, and 25, ch. 74, SLA 2012, sec. 49, ch. 14, SLA 2014, secs. 37, 40, 43, and 46, ch. 15, SLA 2014, and secs. 26 and 31, ch. 61, SLA 2014; providing for an effective date by amending the effective date of secs. 1, 2, and 21, ch. 61, SLA 2014; and providing for an effective date.",House,lower,ocd-jurisdiction/country:us/state:ak/government,,HB0233A,text/html,http://www.legis.state.ak.us/basis/get_bill_text.asp?hsid=HB0233A&session=30
ocd-bill/1e34f33d-9783-4555-8d6a-910922574568,30,HB 233,"An Act relating to the insurance tax education credit, the income tax education credit, the oil or gas producer education credit, the property tax education credit, the mining business education credit, the fisheries business education credit, and the fisheries resource landing tax education credit; providing for an effective date by repealing the effective dates of secs. 3, 5, 7, 10, 14, 16, 18, 21, 23, 25, 28, 30, 32, 35, 37, 39, 42, 44, 46, 49, 51, 53, and 55, ch. 92, SLA 2010, sec. 14, ch. 7, FSSLA 2011, secs. 15, 17, 19, 21, 23, and 25, ch. 74, SLA 2012, sec. 49, ch. 14, SLA 2014, secs. 37, 40, 43, and 46, ch. 15, SLA 2014, and secs. 26 and 31, ch. 61, SLA 2014; providing for an effective date by amending the effective date of secs. 1, 2, and 21, ch. 61, SLA 2014; and providing for an effective date.",House,lower,ocd-jurisdiction/country:us/state:ak/government,,HB0233D,text/html,http://www.legis.state.ak.us/basis/get_bill_text.asp?hsid=HB0233D&session=30
ocd-bill/9a60a4fa-8cc9-4e22-8909-de4ad1b2966a,30,HB 355,An Act relating to the crime of criminally negligent burning; relating to protection of and fire management on forested land; relating to prohibited acts and penalties for prohibited acts on forested land; requiring the Alaska Supreme Court to establish a bail schedule; and providing for an effective date.,House,lower,ocd-jurisdiction/country:us/state:ak/government,,HB0355C,text/html,http://www.legis.state.ak.us/basis/get_bill_text.asp?hsid=HB0355C&session=30
ocd-bill/0d1e4c13-b32e-4960-96c1-17d7709a1deb,30,HB 168,An Act relating to regulation notice and review by the legislature; and relating to the Administrative Regulation Review Committee.,House,lower,ocd-jurisdiction/country:us/state:ak/government,,HB0168Z,text/html,http://www.legis.state.ak.us/basis/get_bill_text.asp?hsid=HB0168Z&session=30
ocd-bill/eb254803-7404-4320-a855-bb78bf6534ab,30,HB 5,An Act relating to payment of health benefit premiums for a surviving spouse and dependent child of certain peace officers and firefighters who die in the line of duty; and providing for an effective date.,House,lower,ocd-jurisdiction/country:us/state:ak/government,,HB0005B,text/html,http://www.legis.state.ak.us/basis/get_bill_text.asp?hsid=HB0005B&session=30
ocd-bill/5252a822-6e5e-45d0-a3cb-086845dac4f5,30,SB 2,An Act increasing the amount of the 2016 permanent fund dividend and directing the Department of Revenue to pay a supplemental dividend to eligible individuals; and providing for an effective date.,Senate,upper,ocd-jurisdiction/country:us/state:ak/government,,SB0002A,text/html,http://www.legis.state.ak.us/basis/get_bill_text.asp?hsid=SB0002A&session=30
ocd-bill/1ea9ce91-938b-481b-8b63-5d8d52484d2c,30,HB 56,"An Act relating to limitations on certain commercial fishing loans made by the Department of Commerce, Community, and Economic Development.",House,lower,ocd-jurisdiction/country:us/state:ak/government,,HB0056Z,text/html,http://www.legis.state.ak.us/basis/get_bill_text.asp?hsid=HB0056Z&session=30
ocd-bill/4c5fbfcb-b8d5-4ff2-b5cf-8504113af992,30,SB 86,"An Act relating to the sale or other disposal, leasing, or encumbrance of Alaska Railroad Corporation land; relating to the financing and bonding authority of the Alaska Railroad Corporation; and providing for an effective date.",Senate,upper,ocd-jurisdiction/country:us/state:ak/government,,SB0086D,text/html,http://www.legis.state.ak.us/basis/get_bill_text.asp?hsid=SB0086D&session=30
ocd-bill/aa2edd9b-f5ad-4b79-aec5-7ae8e4340b64,30,HB 353,An Act relating to the licensure of marital and family therapists; relating to medical assistance for marital and family therapists' services; and providing for an effective date.,House,lower,ocd-jurisdiction/country:us/state:ak/government,,HB0353A,text/html,http://www.legis.state.ak.us/basis/get_bill_text.asp?hsid=HB0353A&session=30
ocd-bill/cec57f8c-6d36-4ff7-9a57-80a718184937,30,HB 351,"An Act relating to care of juveniles and to juvenile justice; relating to employment of juvenile probation officers by the Department of Health and Social Services; relating to terms used in juvenile justice; relating to mandatory reporters of child abuse or neglect; relating to adjudication of minor delinquency and the deoxyribonucleic acid identification registration system; relating to sexual assault in the third degree; relating to sexual assault in the fourth degree; repealing a requirement for administrative revocation of a minor's driver's license, permit, privilege to drive, or privilege to obtain a license for consumption or possession of alcohol or drugs; and providing for an effective date.",House,lower,ocd-jurisdiction/country:us/state:ak/government,,HB0351A,text/html,http://www.legis.state.ak.us/basis/get_bill_text.asp?hsid=HB0351A&session=30
ocd-bill/cec57f8c-6d36-4ff7-9a57-80a718184937,30,HB 351,"An Act relating to care of juveniles and to juvenile justice; relating to employment of juvenile probation officers by the Department of Health and Social Services; relating to terms used in juvenile justice; relating to mandatory reporters of child abuse or neglect; relating to adjudication of minor delinquency and the deoxyribonucleic acid identification registration system; relating to sexual assault in the third degree; relating to sexual assault in the fourth degree; repealing a requirement for administrative revocation of a minor's driver's license, permit, privilege to drive, or privilege to obtain a license for consumption or possession of alcohol or drugs; and providing for an effective date.",House,lower,ocd-jurisdiction/country:us/state:ak/government,,HB0351B,text/html,http://www.legis.state.ak.us/basis/get_bill_text.asp?hsid=HB0351B&session=30
ocd-bill/8c3d6e3a-e5d5-4b87-a9b1-68d68a9b7cbd,30,HB 110,"An Act relating to the Board of Massage Therapists; relating to the practice of massage therapy; relating to massage therapy establishments; relating to the Department of Commerce, Community, and Economic Development; and providing for an effective date.",House,lower,ocd-jurisdiction/country:us/state:ak/government,,HB0110B,text/html,http://www.legis.state.ak.us/basis/get_bill_text.asp?hsid=HB0110B&session=30
ocd-bill/0d1e4c13-b32e-4960-96c1-17d7709a1deb,30,HB 168,An Act relating to regulation notice and review by the legislature; and relating to the Administrative Regulation Review Committee.,House,lower,ocd-jurisdiction/country:us/state:ak/government,,HB0168A,text/html,http://www.legis.state.ak.us/basis/get_bill_text.asp?hsid=HB0168A&session=30
ocd-bill/02fd217b-1bc9-4ee1-bac7-c49540aace38,30,HB 159,"An Act relating to the prescription of opioids; relating to voluntary nonopioid directives; relating to the controlled substance prescription database; relating to the practice of dentistry; relating to the practice of pharmacy; relating to the practice of medicine; relating to the practice of podiatry; relating to the practice of osteopathy; relating to the practice of nursing; relating to the practice of optometry; relating to the practice of veterinary medicine; relating to the duties of the Board of Pharmacy; relating to pharmacists; relating to the definition of 'practitioner'; providing for an effective date by repealing the effective date of sec. 73, ch. 25, SLA 2016; and providing for an effective date.",House,lower,ocd-jurisdiction/country:us/state:ak/government,,HB0159B,text/html,http://www.legis.state.ak.us/basis/get_bill_text.asp?hsid=HB0159B&session=30
ocd-bill/1e34f33d-9783-4555-8d6a-910922574568,30,HB 233,"An Act relating to the insurance tax education credit, the income tax education credit, the oil or gas producer education credit, the property tax education credit, the mining business education credit, the fisheries business education credit, and the fisheries resource landing tax education credit; providing for an effective date by repealing the effective dates of secs. 3, 5, 7, 10, 14, 16, 18, 21, 23, 25, 28, 30, 32, 35, 37, 39, 42, 44, 46, 49, 51, 53, and 55, ch. 92, SLA 2010, sec. 14, ch. 7, FSSLA 2011, secs. 15, 17, 19, 21, 23, and 25, ch. 74, SLA 2012, sec. 49, ch. 14, SLA 2014, secs. 37, 40, 43, and 46, ch. 15, SLA 2014, and secs. 26 and 31, ch. 61, SLA 2014; providing for an effective date by amending the effective date of secs. 1, 2, and 21, ch. 61, SLA 2014; and providing for an effective date.",House,lower,ocd-jurisdiction/country:us/state:ak/government,,HB0233C,text/html,http://www.legis.state.ak.us/basis/get_bill_text.asp?hsid=HB0233C&session=30
ocd-bill/9a60a4fa-8cc9-4e22-8909-de4ad1b2966a,30,HB 355,An Act relating to the crime of criminally negligent burning; relating to protection of and fire management on forested land; relating to prohibited acts and penalties for prohibited acts on forested land; requiring the Alaska Supreme Court to establish a bail schedule; and providing for an effective date.,House,lower,ocd-jurisdiction/country:us/state:ak/government,,HB0355B,text/html,http://www.legis.state.ak.us/basis/get_bill_text.asp?hsid=HB0355B&session=30
ocd-bill/7163694d-5e54-4357-8dd4-bd6c2be4886e,30,HB 172,An Act relating to the regulation and production of industrial hemp; relating to industrial hemp pilot programs; providing that industrial hemp is not included in the definition of 'marijuana'; and clarifying that adding industrial hemp to food does not create an adulterated food product.,House,lower,ocd-jurisdiction/country:us/state:ak/government,,HB0172B,text/html,http://www.legis.state.ak.us/basis/get_bill_text.asp?hsid=HB0172B&session=30
ocd-bill/02fd217b-1bc9-4ee1-bac7-c49540aace38,30,HB 159,"An Act relating to the prescription of opioids; relating to voluntary nonopioid directives; relating to the controlled substance prescription database; relating to the practice of dentistry; relating to the practice of pharmacy; relating to the practice of medicine; relating to the practice of podiatry; relating to the practice of osteopathy; relating to the practice of nursing; relating to the practice of optometry; relating to the practice of veterinary medicine; relating to the duties of the Board of Pharmacy; relating to pharmacists; relating to the definition of 'practitioner'; providing for an effective date by repealing the effective date of sec. 73, ch. 25, SLA 2016; and providing for an effective date.",House,lower,ocd-jurisdiction/country:us/state:ak/government,,HB0159A,text/html,http://www.legis.state.ak.us/basis/get_bill_text.asp?hsid=HB0159A&session=30
ocd-bill/967dfff3-1d7f-47c4-9c3a-31304a83dc3f,30,SB 9,An Act relating to military facility zones; and providing for an effective date.,Senate,upper,ocd-jurisdiction/country:us/state:ak/government,,SB0009Z,text/html,http://www.legis.state.ak.us/basis/get_bill_text.asp?hsid=SB0009Z&session=30
ocd-bill/0c1680f4-efa2-42e2-8902-bed9f68e734c,30,SB 104,An Act relating to the duties of the Department of Education and Early Development; relating to the duties of the state Board of Education and Early Development; relating to school curricula; relating to a system for managing student information and records related to individualized education programs for children with disabilities; establishing the marijuana education and treatment fund; and relating to the duties of the Department of Health and Social Services to administer a comprehensive marijuana use education and treatment program.,Senate,upper,ocd-jurisdiction/country:us/state:ak/government,,SB0104Z,text/html,http://www.legis.state.ak.us/basis/get_bill_text.asp?hsid=SB0104Z&session=30
ocd-bill/18b73d6c-1683-41cb-b26c-abf2f1c8d2a6,30,SB 167,An Act exempting identifying information of a person who reports criminal activity from disclosure as public records.,Senate,upper,ocd-jurisdiction/country:us/state:ak/government,,SB0167A,text/html,http://www.legis.state.ak.us/basis/get_bill_text.asp?hsid=SB0167A&session=30
ocd-bill/b8aa5cd3-9c76-40e0-ae14-f85f26ce71fa,30,SB 125,An Act extending the expiration date of the authorization to finance and issue bonds through the Alaska Industrial Development and Export Authority for a liquefied natural gas production system and natural gas distribution system for an Interior energy project; and providing for an effective date.,Senate,upper,ocd-jurisdiction/country:us/state:ak/government,,SB0125A,text/html,http://www.legis.state.ak.us/basis/get_bill_text.asp?hsid=SB0125A&session=30
ocd-bill/967dfff3-1d7f-47c4-9c3a-31304a83dc3f,30,SB 9,An Act relating to military facility zones; and providing for an effective date.,Senate,upper,ocd-jurisdiction/country:us/state:ak/government,,SB0009A,text/html,http://www.legis.state.ak.us/basis/get_bill_text.asp?hsid=SB0009A&session=30
ocd-bill/967dfff3-1d7f-47c4-9c3a-31304a83dc3f,30,SB 9,An Act relating to military facility zones; and providing for an effective date.,Senate,upper,ocd-jurisdiction/country:us/state:ak/government,,SB0009B,text/html,http://www.legis.state.ak.us/basis/get_bill_text.asp?hsid=SB0009B&session=30
ocd-bill/0c1680f4-efa2-42e2-8902-bed9f68e734c,30,SB 104,An Act relating to the duties of the Department of Education and Early Development; relating to the duties of the state Board of Education and Early Development; relating to school curricula; relating to a system for managing student information and records related to individualized education programs for children with disabilities; establishing the marijuana education and treatment fund; and relating to the duties of the Department of Health and Social Services to administer a comprehensive marijuana use education and treatment program.,Senate,upper,ocd-jurisdiction/country:us/state:ak/government,,SB0104A,text/html,http://www.legis.state.ak.us/basis/get_bill_text.asp?hsid=SB0104A&session=30
ocd-bill/0c1680f4-efa2-42e2-8902-bed9f68e734c,30,SB 104,An Act relating to the duties of the Department of Education and Early Development; relating to the duties of the state Board of Education and Early Development; relating to school curricula; relating to a system for managing student information and records related to individualized education programs for children with disabilities; establishing the marijuana education and treatment fund; and relating to the duties of the Department of Health and Social Services to administer a comprehensive marijuana use education and treatment program.,Senate,upper,ocd-jurisdiction/country:us/state:ak/government,,SB0104C,text/html,http://www.legis.state.ak.us/basis/get_bill_text.asp?hsid=SB0104C&session=30
ocd-bill/967dfff3-1d7f-47c4-9c3a-31304a83dc3f,30,SB 9,An Act relating to military facility zones; and providing for an effective date.,Senate,upper,ocd-jurisdiction/country:us/state:ak/government,,SB0009C,text/html,http://www.legis.state.ak.us/basis/get_bill_text.asp?hsid=SB0009C&session=30
ocd-bill/4c5fbfcb-b8d5-4ff2-b5cf-8504113af992,30,SB 86,"An Act relating to the sale or other disposal, leasing, or encumbrance of Alaska Railroad Corporation land; relating to the financing and bonding authority of the Alaska Railroad Corporation; and providing for an effective date.",Senate,upper,ocd-jurisdiction/country:us/state:ak/government,,SB0086A,text/html,http://www.legis.state.ak.us/basis/get_bill_text.asp?hsid=SB0086A&session=30
ocd-bill/0d9c5ae1-2f88-431b-9f49-6d24a57f760c,30,SB 57,"An Act relating to the dividends from the Alaska Industrial Development and Export Authority; relating to the meaning of 'mark-to-market fair value,' 'net income,' 'project or development,' and 'unrestricted net income' for purposes of the Alaska Industrial Development and Export Authority; and providing for an effective date.",Senate,upper,ocd-jurisdiction/country:us/state:ak/government,,SB0057A,text/html,http://www.legis.state.ak.us/basis/get_bill_text.asp?hsid=SB0057A&session=30
ocd-bill/85d23c0b-b1b9-4d35-9b35-b282fa27ee1e,30,SB 166,An Act amending requirements for qualifications to acquire or hold mining rights; amending rental rates for mining locations and leases; repealing annual labor requirements for mining locations; providing for waiver of a cure penalty for abandonment because of failure to properly record a statement of labor; and providing for an effective date.,Senate,upper,ocd-jurisdiction/country:us/state:ak/government,,SB0166A,text/html,http://www.legis.state.ak.us/basis/get_bill_text.asp?hsid=SB0166A&session=30
